lon,lat,property_type,neighbourhood,basement_finished,has_garage,has_fireplace,building_count,walkout_basement,air_conditioning,lot_size,Assessed_value_2015,Assessed_value_2016,change
-113.4823884,53.54912633,2,BOYLE STREET,0,0,0,0,0,0,20199,865500,785500,Decrease
-113.4827623,53.5493062,3,MCCAULEY,0,0,0,0,0,0,6697.5,79000,23000,Decrease
-113.4833796,53.54972819,3,MCCAULEY,0,0,0,0,0,0,6697.5,0,0,Decrease
-113.4888161,53.5486619,4,DOWNTOWN,0,0,0,0,0,0,379.4,500,500,Decrease
-113.4884414,53.54857278,4,DOWNTOWN,0,0,0,0,0,0,3711.8,560000,603000,Increase
-113.4886754,53.54847718,4,DOWNTOWN,0,0,0,0,0,0,1194.2,70000,75500,Increase
-113.4892213,53.5486248,3,MCCAULEY,0,0,0,0,0,0,87.7,500,nan,Increase
-113.4892708,53.5486174,3,MCCAULEY,0,0,0,0,0,0,88.4,500,nan,Increase
-113.4889558,53.5484941,4,DOWNTOWN,0,0,0,0,0,0,3726,535500,576500,Increase
-113.4893203,53.5486101,3,MCCAULEY,0,0,0,0,0,0,89.1,500,nan,Increase
-113.4893698,53.5486028,3,MCCAULEY,0,0,0,0,0,0,180.3,500,nan,Increase
-113.4889169,53.54839958,4,DOWNTOWN,0,0,0,0,0,0,3321.5,430000,451500,Increase
-113.4889489,53.54832783,4,DOWNTOWN,0,0,0,0,0,0,1534.3,88500,96000,Increase
-113.4894193,53.5485954,4,MCCAULEY,0,0,0,0,0,0,75,2000,nan,Increase
-113.4893283,53.54835192,4,DOWNTOWN,0,0,0,0,0,0,7747.7,1108000,1199500,Increase
-113.4900596,53.54823822,4,DOWNTOWN,0,0,0,0,0,0,16619.3,2225000,2394000,Increase
-113.493924,53.54789199,3,CENTRAL MCDOUGALL,0,0,0,0,0,0,105,500,500,Decrease
-113.4955363,53.5478103,2,CENTRAL MCDOUGALL,0,0,0,0,0,0,8006,375000,401500,Increase
-113.4958653,53.54808311,2,CENTRAL MCDOUGALL,0,0,0,0,0,0,8003.3,375000,401000,Increase
-113.4997731,53.54819387,3,CENTRAL MCDOUGALL,0,0,0,0,0,0,4184,14500,95000,Increase
-113.5077993,53.54794636,4,CENTRAL MCDOUGALL,0,0,0,0,0,0,20752.8,1101000,1031500,Decrease
